Drink Name,Ingredient Name,Quantity Used,Unit Type,Unit Cost,Cost Per Item
Sugar Free Peach Lemonade,Ice,1,per lb,$0.19,$0.19
Sugar Free Peach Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Peach Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Peach Lemonade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Peach Lemonade,Sugar Free Peach,1,Per Oz,$0.29,$0.29
Sugar Free Peach Lemonade,,,,Cost Per Drink,$1.65
Sugar Free Raspberry Lemonade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Raspberry Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Raspberry Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Raspberry Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Raspberry Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Raspberry Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Raspberry Lemonade,Ice,1,per lb,$0.19,$0.19
Sugar Free Raspberry Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Raspberry Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Raspberry Lemonade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Raspberry Lemonade,Sugar Free Raspberry,1,Per Oz,$0.29,$0.29
Sugar Free Raspberry Lemonade,,,,Cost Per Drink,$1.65
Sugar Free Strawberry Lemonade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Strawberry Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Strawberry Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Strawberry Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Strawberry Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Strawberry Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Strawberry Lemonade,Ice,1,per lb,$0.19,$0.19
Sugar Free Strawberry Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Strawberry Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Strawberry Lemonade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Strawberry Lemonade,Sugar Free Strawberry,1,Per Oz,$0.29,$0.29
Sugar Free Strawberry Lemonade,,,,Cost Per Drink,$1.65
Sugar Free Cherry Lemonade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Cherry Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Cherry Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Cherry Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Cherry Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Cherry Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Cherry Lemonade,Ice,1,per lb,$0.19,$0.19
Sugar Free Cherry Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Cherry Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Cherry Lemonade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Cherry Lemonade,Sugar Free Cherry,1,Per Oz,$0.29,$0.29
Sugar Free Cherry Lemonade,,,,Cost Per Drink,$1.65
Regular Limeade,Straw,1,Per Cup,$0.01,$0.01
Regular Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Regular Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Regular Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Regular Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Regular Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Regular Limeade,Ice,1,per lb,$0.19,$0.19
Regular Limeade,Water,2,per cup (8oz),$0.03,$0.06
Regular Limeade,Lime,1,Per Cup,$0.22,$0.22
Regular Limeade,Simple Syrup,3,Per Oz,$0.03,$0.10
Regular Limeade,,,,Cost Per Drink,$0.89
Blue Raspberry Limeade,Straw,1,Per Cup,$0.01,$0.01
Blue Raspberry Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Blue Raspberry Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Blue Raspberry Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Blue Raspberry Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Blue Raspberry Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Blue Raspberry Limeade,Ice,1,per lb,$0.19,$0.19
Blue Raspberry Limeade,Water,2,per cup (8oz),$0.03,$0.06
Blue Raspberry Limeade,Lime,1,Per Cup,$0.22,$0.22
Blue Raspberry Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Blue Raspberry Limeade,Blue Raspberry,0.75,Per Oz,$0.29,$0.22
Blue Raspberry Limeade,,,,Cost Per Drink,$1.08
Candied Orange Limeade,Straw,1,Per Cup,$0.01,$0.01
Candied Orange Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Candied Orange Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Candied Orange Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Candied Orange Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Candied Orange Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Candied Orange Limeade,Ice,1,per lb,$0.19,$0.19
Candied Orange Limeade,Water,2,per cup (8oz),$0.03,$0.06
Candied Orange Limeade,Lime,1,Per Cup,$0.22,$0.22
Candied Orange Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Candied Orange Limeade,Candied Orange,0.75,Per Oz,$0.29,$0.22
