date,locationId,grossSales,modifierRevenue,discounts,netSales,tips,squareFees,squareTax,totalCollected,totalWithModifiers
2025-06-27,LVRQ3C0APF339,1777.00,0.00,67.00,0.00,103.75,0.00,0.00,1728.00,1777.00
2025-06-27,L0Y3QBSRV39VN,2024.00,0.00,12.00,0.00,82.25,0.00,0.00,2012.00,2024.00
2025-06-28,LVRQ3C0APF339,2344.00,0.00,23.50,0.00,149.02,0.00,0.00,2320.50,2344.00
2025-06-28,LVYBM098599TD,1375.05,0.00,18.00,0.00,62.00,0.00,0.00,1357.05,1375.05
2025-06-28,L0Y3QBSRV39VN,3150.00,0.00,44.00,0.00,168.55,0.00,0.00,3106.00,3150.00
2025-07-03,L0Y3QBSRV39VN,948.00,0.00,18.00,0.00,50.90,0.00,0.00,930.00,948.00
2025-07-04,LVYBM098599TD,3336.00,0.00,8.00,0.00,260.05,0.00,0.00,3367.00,3336.00
2025-07-04,L0Y3QBSRV39VN,4374.00,0.00,208.25,0.00,199.20,0.00,0.00,4202.75,4374.00
2025-07-05,L0Y3QBSRV39VN,1011.00,0.00,22.00,0.00,62.20,0.00,0.00,989.00,1011.00
2025-07-06,L0Y3QBSRV39VN,1458.00,0.00,28.00,0.00,158.00,0.00,0.00,1430.00,1458.00
2025-07-09,L0Y3QBSRV39VN,1253.00,0.00,2.00,0.00,59.90,0.00,0.00,1251.00,1253.00
2025-07-10,LVYBM098599TD,2422.00,0.00,50.00,0.00,105.90,0.00,0.00,2372.00,2422.00
2025-07-10,L0Y3QBSRV39VN,1123.00,0.00,6.00,0.00,54.50,0.00,0.00,1117.00,1123.00
2025-07-11,LVYBM098599TD,1773.00,0.00,58.25,0.00,75.15,0.00,0.00,1714.75,1773.00
2025-07-12,LVRQ3C0APF339,3450.00,0.00,67.50,0.00,205.10,0.00,0.00,3382.50,3450.00
2025-07-12,LVYBM098599TD,1375.00,0.00,0.00,0.00,35.25,0.00,0.00,1383.00,1375.00
2025-07-12,L29CDXV71TXHW,2118.00,0.00,1.75,0.00,118.25,0.00,0.00,2116.25,2118.00
2025-07-12,L0Y3QBSRV39VN,1856.00,0.00,15.50,0.00,119.45,0.00,0.00,1840.50,1856.00
2025-07-15,LVRQ3C0APF339,847.00,0.00,0.00,0.00,38.35,0.00,0.00,847.00,847.00
2025-07-15,L29CDXV71TXHW,1167.00,0.00,0.00,0.00,58.20,0.00,0.00,1167.00,1167.00
2025-07-16,L29CDXV71TXHW,1932.00,0.00,0.00,0.00,114.30,0.00,0.00,1932.00,1932.00
2025-07-17,LVRQ3C0APF339,1928.00,0.00,71.00,0.00,81.40,0.00,0.00,1857.00,1928.00
2025-07-17,L29CDXV71TXHW,2260.00,0.00,0.50,0.00,133.20,0.00,0.00,2259.50,2260.00
2025-07-17,L0Y3QBSRV39VN,739.00,0.00,0.00,0.00,42.35,0.00,0.00,739.00,739.00
2025-07-18,LVRQ3C0APF339,3038.00,0.00,325.50,0.00,170.20,0.00,0.00,2712.50,3038.00
2025-07-18,LVYBM098599TD,2033.00,0.00,2.00,0.00,97.25,0.00,0.00,2049.00,2033.00
2025-07-18,L0Y3QBSRV39VN,716.00,0.00,2.00,0.00,41.20,0.00,0.00,714.00,716.00
2025-07-19,LVRQ3C0APF339,1307.00,0.00,195.00,0.00,70.30,0.00,0.00,1112.00,1307.00
2025-07-19,LVYBM098599TD,2033.00,0.00,2.00,0.00,118.30,0.00,0.00,2031.00,2033.00
2025-07-19,L29CDXV71TXHW,1840.00,0.00,12.50,0.00,111.90,0.00,0.00,1835.50,1840.00
2025-07-19,L0Y3QBSRV39VN,2397.00,0.00,8.00,0.00,169.05,0.00,0.00,2397.00,2397.00
2025-07-26,LVRQ3C0APF339,376.00,0.00,35.25,0.00,24.20,0.00,0.00,340.75,376.00
2025-07-26,LVYBM098599TD,1192.00,0.00,18.00,0.00,82.25,0.00,0.00,1174.00,1192.00
2025-07-29,LVRQ3C0APF339,625.00,0.00,250.00,0.00,0.00,0.00,0.00,375.00,625.00
2025-07-30,LVYBM098599TD,7.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,7.00
2025-07-30,L29CDXV71TXHW,1134.00,0.00,16.00,0.00,62.75,0.00,0.00,1118.00,1134.00
2025-07-30,L0Y3QBSRV39VN,425.00,0.00,0.00,0.00,20.60,0.00,0.00,425.00,425.00
2025-07-31,L29CDXV71TXHW,1469.00,0.00,4.00,0.00,68.10,0.00,0.00,1465.00,1469.00
2025-07-31,L0Y3QBSRV39VN,1225.00,0.00,0.00,0.00,60.86,0.00,0.00,1225.00,1225.00
2025-08-01,L29CDXV71TXHW,1184.00,0.00,0.00,0.00,113.80,0.00,0.00,1184.00,1184.00
2025-08-01,L0Y3QBSRV39VN,1484.00,0.00,2.00,0.00,76.70,0.00,0.00,1482.00,1484.00
2025-08-02,LVRQ3C0APF339,19.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,19.00
2025-08-02,L29CDXV71TXHW,1619.00,0.00,0.00,0.00,74.95,0.00,0.00,1619.00,1619.00
2025-08-02,L0Y3QBSRV39VN,920.00,0.00,5.25,0.00,52.10,0.00,0.00,914.75,920.00
2025-08-05,LVYBM098599TD,1464.00,0.00,26.00,0.00,85.80,0.00,0.00,1438.00,1464.00
2025-08-05,L29CDXV71TXHW,1030.00,0.00,17.00,0.00,51.90,0.00,0.00,1027.00,1030.00
2025-08-05,L0Y3QBSRV39VN,155.00,0.00,0.00,0.00,8.80,0.00,0.00,155.00,155.00
2025-08-06,LVYBM098599TD,1912.00,0.00,7.00,0.00,68.05,0.00,0.00,1905.00,1912.00
2025-08-06,L29CDXV71TXHW,1371.00,0.00,141.00,0.00,67.90,0.00,0.00,1230.00,1371.00
2025-08-07,LVYBM098599TD,2961.00,0.00,33.00,0.00,168.95,0.00,0.00,2928.00,2961.00
2025-08-07,L29CDXV71TXHW,1247.00,0.00,89.00,0.00,50.80,0.00,0.00,1158.00,1247.00
2025-08-08,LVRQ3C0APF339,8.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00
2025-08-08,LVYBM098599TD,2160.00,0.00,60.00,0.00,99.97,0.00,0.00,2100.00,2160.00
2025-08-08,L29CDXV71TXHW,795.00,0.00,103.00,0.00,22.70,0.00,0.00,706.00,795.00
2025-08-08,L0Y3QBSRV39VN,2568.00,0.00,0.00,0.00,242.05,0.00,0.00,2568.00,2568.00
